minute,location_x,location_y,xg,home_ppda,away_ppda,home_fouls_committed,away_fouls_committed,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,total_match_fouls,total_match_cards,avg_match_ppda,pressing_intensity_score,Atmosphere_Tension_Index,NEW_OPPONENT_PPDA,NEW_IS_HIGH_TENSION,NEW_IS_LATE_GAME,NEW_TENSION_X_PPDA,NEW_FOULS_PER_PPDA,NEW_TOTAL_CARDS,is_goal,body_part_Left Foot,body_part_Right Foot,situation_From Corner,situation_Open Play,situation_Rare,situation_Set Piece
5,0.9080000305175782,0.444000015258789,0.3169209659099579,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
63,0.9080000305175782,0.5129999923706055,0.4259942471981048,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,1,1,0,0,1,0,0
75,0.825,0.4829999923706055,0.0955900996923446,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,1,566.2041402345253,1.521386268918622,3.0,1,1,0,0,1,0,0
41,0.855,0.685,0.0386302769184112,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
70,0.8959999847412109,0.63,0.0770909711718559,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,0,1,0,0,1,0,0
9,0.9490000152587892,0.4109999847412109,0.071727454662323,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,0,0,0,1,0,0,0
48,0.8769999694824219,0.6559999847412109,0.0973141565918922,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,0,1,0,0,1,0,0
70,0.911999969482422,0.595,0.0532196760177612,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,0,0,0,0,1,0,0
34,0.87,0.5209999847412109,0.3510007560253143,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
46,0.75,0.315,0.0455425083637237,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,8.764705882352942,0,0,566.2041402345253,1.521386268918622,3.0,0,1,0,0,0,0,0
51,0.76,0.3479999923706054,0.0271507985889911,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
48,0.850999984741211,0.4920000076293945,0.0957067683339119,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,1,0,1,0,1,0,0
69,0.8519999694824218,0.7609999847412109,0.0329975113272666,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
87,0.909000015258789,0.624000015258789,0.0700523033738136,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,1,566.2041402345253,1.521386268918622,3.0,0,0,1,0,0,0,1
53,0.7090000152587891,0.5570000076293945,0.0145673053339123,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
79,0.855,0.4420000076293945,0.0939060449600219,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,1,566.2041402345253,1.521386268918622,3.0,0,1,0,0,1,0,0
80,0.865,0.3359999847412109,0.0511729903519153,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,1,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
87,0.8980000305175782,0.534000015258789,0.0990132465958595,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,1,566.2041402345253,1.521386268918622,3.0,1,0,1,0,1,0,0
62,0.84,0.4579999923706054,0.1110386252403259,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
2,0.7619999694824219,0.6990000152587891,0.0146010080352425,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,0,1,0,0
36,0.8909999847412109,0.524000015258789,0.404091328382492,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,1,0,1,0,1,0,0
38,0.941999969482422,0.4829999923706055,0.534849226474762,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,0,0,1,0,0
46,0.960999984741211,0.5209999847412109,0.1347046047449112,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,0,1,0,0,0
52,0.754000015258789,0.3720000076293945,0.015647554770112,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,1,1,0,0,0
3,0.855999984741211,0.3129999923706055,0.0426560491323471,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,1,0,0,1,0,0
47,0.85,0.4270000076293945,0.1133756041526794,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,1,0,0,1,0,0
93,0.899000015258789,0.6129999923706054,0.1389048248529434,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,1,566.2041402345253,1.521386268918622,3.0,1,0,1,0,1,0,0
4,0.914000015258789,0.505,0.2579754292964935,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,0,1,0,0,0
30,0.911999969482422,0.5320000076293945,0.0776621475815773,8.764705882352942,11.583333333333334,7.0,10.0,1.0,2.0,0.0,0.0,17.0,9.0,10.17401960784314,14.82598039215686,55.65196078431372,11.583333333333334,0,0,566.2041402345253,1.521386268918622,3.0,0,0,0,1,0,0,0
46,0.9009999847412108,0.4729999923706054,0.1751610189676284,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,6.083333333333333,1,0,812.5,1.7777777777777777,3.0,0,0,0,1,0,0,0
86,0.894000015258789,0.265,0.0634842738509178,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,6.083333333333333,1,1,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
64,0.8469999694824218,0.4170000076293945,0.0799555703997612,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,6.083333333333333,1,0,812.5,1.7777777777777777,3.0,0,1,0,0,1,0,0
2,0.8680000305175781,0.4329999923706055,0.5098440051078796,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
12,0.911999969482422,0.3620000076293945,0.0592582039535045,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
2,0.8469999694824218,0.6480000305175782,0.0537716448307037,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
7,0.8480000305175781,0.6170000076293946,0.0206153132021427,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,0,0,1
10,0.93,0.47,0.4054856300354004,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,0,0,1,0,0
15,0.784000015258789,0.6129999923706054,0.023262882605195,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,0,0,1
26,0.8490000152587891,0.6509999847412109,0.0749164000153541,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
71,0.6769999694824219,0.5929999923706055,0.0151972882449626,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,1,0,0,0
90,0.685,0.5109999847412109,0.0105462726205587,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,1,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
27,0.7380000305175781,0.3459999847412109,0.0144613198935985,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
67,0.7630000305175781,0.455,0.0226182211190462,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,0,0,1
96,0.37650001525878896,0.3089999961853027,0.005802980158478,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,1,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
72,0.8980000305175782,0.6090000152587891,0.0713283643126487,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,0,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
76,0.8019999694824219,0.469000015258789,0.047001764178276,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,1,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
87,0.825,0.685,0.0266072824597358,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,1,812.5,1.7777777777777777,3.0,0,0,1,0,1,0,0
93,0.835999984741211,0.3179999923706054,0.0402633287012577,18.916666666666668,6.083333333333333,13.0,11.0,1.0,1.0,0.0,0.0,24.0,16.0,12.5,12.5,65.0,18.916666666666668,1,1,812.5,1.7777777777777777,3.0,0,1,0,0,1,0,0
88,0.919000015258789,0.3609999847412109,0.3136118948459625,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,1,928.6830750818848,2.2835428237357496,6.0,0,0,1,0,1,0,0
13,0.74,0.4640000152587891,0.0192680601030588,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,0,928.6830750818848,2.2835428237357496,6.0,0,0,1,0,1,0,0
75,0.749000015258789,0.46,0.0246505476534366,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,1,928.6830750818848,2.2835428237357496,6.0,0,0,1,0,1,0,0
25,0.75,0.6320000076293946,0.0222328007221221,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,0,928.6830750818848,2.2835428237357496,6.0,0,0,1,0,1,0,0
37,0.7959999847412109,0.4490000152587891,0.033206358551979,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,0,928.6830750818848,2.2835428237357496,6.0,0,1,0,0,1,0,0
27,0.933000030517578,0.5970000076293945,0.080752782523632,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,0,928.6830750818848,2.2835428237357496,6.0,0,0,0,0,1,0,0
86,0.9619999694824218,0.5870000076293945,0.030780566856265,8.928571428571429,16.22222222222222,16.0,15.0,3.0,3.0,0.0,0.0,31.0,18.0,12.575396825396826,12.424603174603174,73.84920634920636,16.22222222222222,1,1,928.6830750818848,2.2835428237357496,6.0,0,0,0,1,0,0,0
