player,team,Total_Shots,Actual_Goals,Classic_xG,Contextual_xG,Overperformance_cxG,xG_Difference
Lucas Digne,Aston Villa,13,0,0.66,0.61,-0.61,-0.05
Curtis Jones,Liverpool,19,0,1.71,1.09,-1.09,-0.61
Timothy Castagne,Fulham,12,0,1.27,0.87,-0.87,-0.4
Lutsharel Geertruida,Sunderland,10,0,0.82,0.5,-0.5,-0.32
Ola Aina,Nottingham Forest,12,0,0.41,0.51,-0.51,0.1
Vitalii Mykolenko,Everton,10,0,0.28,0.34,-0.34,0.06
Djed Spence,Tottenham,12,0,1.11,0.79,-0.79,-0.31
Will Hughes,Crystal Palace,17,0,1.28,0.87,-0.87,-0.41
Carlos Baleba,Brighton,18,0,0.52,0.69,-0.69,0.17
Carlos Alcaraz,Everton,19,0,0.97,0.87,-0.87,-0.1
Wilson Odobert,Tottenham,21,0,2.46,1.87,-1.87,-0.59
Maxime Estève,Burnley,12,0,0.45,0.53,-0.53,0.07
Brennan Johnson,Crystal Palace,17,0,1.49,1.1,-1.1,-0.39
Marc Guiu,Chelsea,12,0,2.47,1.27,-1.27,-1.19
Marcos Senesi,Bournemouth,16,0,1.85,1.28,-1.28,-0.57
Anthony Elanga,Newcastle United,16,0,1.33,0.88,-0.88,-0.45
Yerson Mosquera,Wolverhampton Wanderers,28,0,2.39,2.14,-2.14,-0.25
Youri Tielemans,Aston Villa,22,0,1.77,1.35,-1.35,-0.43
Tim Iroegbunam,Everton,12,0,0.51,0.54,-0.54,0.03
Sepp van den Berg,Brentford,22,0,3.26,1.73,-1.73,-1.53
Andrey Santos,Chelsea,10,0,1.95,1.46,-1.46,-0.48
Jadon Sancho,Aston Villa,10,0,0.77,0.69,-0.69,-0.08
Joachim Andersen,Fulham,16,0,1.66,1.17,-1.17,-0.48
Pablo,West Ham,10,0,0.96,0.72,-0.72,-0.24
Jeremie Frimpong,Liverpool,10,0,0.51,0.38,-0.38,-0.14
Pascal Struijk,Leeds,30,0,2.93,2.02,-2.02,-0.91
Jefferson Lerma,Crystal Palace,21,0,2.21,1.62,-1.62,-0.59
Adam Wharton,Crystal Palace,28,0,1.05,0.96,-0.96,-0.09
Noah Sadiki,Sunderland,19,0,1.62,1.2,-1.2,-0.42
Jamie Bynoe-Gittens,Chelsea,10,0,0.89,0.71,-0.71,-0.18
James Hill,Bournemouth,13,0,0.84,0.67,-0.67,-0.17
Joël Piroe,Leeds,11,0,0.97,0.74,-0.74,-0.23
Nikola Milenkovic,Nottingham Forest,15,0,0.48,0.64,-0.64,0.17
Jacob Bruun Larsen,Burnley,16,0,1.39,1.32,-1.32,-0.07
Dwight McNeil,Everton,24,0,1.46,1.29,-1.29,-0.17
Kristoffer Ajer,Brentford,10,0,1.05,0.68,-0.68,-0.37
Gabriel Gudmundsson,Leeds,19,0,0.88,0.77,-0.77,-0.11
Florentino Luís,Burnley,11,0,0.98,0.66,-0.66,-0.32
Fabian Schär,Newcastle United,17,0,0.96,0.7,-0.7,-0.26
Ezri Konsa Ngoyo,Aston Villa,11,0,1.07,0.73,-0.73,-0.34
Sander Berge,Fulham,13,0,1.12,0.8,-0.8,-0.32
Sandro Tonali,Newcastle United,37,0,1.42,1.69,-1.69,0.28
Joe Willock,Newcastle United,14,0,1.23,0.95,-0.95,-0.28
Emmanuel Agbadou,Wolverhampton Wanderers,10,0,0.45,0.46,-0.46,0.01
Sávio,Manchester City,14,0,2.54,1.7,-1.7,-0.84
El Hadji Malick Diouf,West Ham,17,0,0.54,0.67,-0.67,0.13
Ian Maatsen,Aston Villa,19,0,1.27,1.33,-1.33,0.06
